S 68214c,1 tag = 6664, set = 10, block = 6824268 miss 
S 64300c,4 tag = 6412, set = 0, block = 6565900 miss eviction 
L 602b38,4 tag = 6154, set = 25, block = 6302488 hit 
S 64308c,4 tag = 6412, set = 4, block = 6566028 miss eviction 
L 602b3c,4 tag = 6154, set = 25, block = 6302492 hit 
S 64310c,4 tag = 6412, set = 8, block = 6566156 miss eviction 
L 602b40,4 tag = 6154, set = 26, block = 6302528 miss eviction 
S 642190,4 tag = 6408, set = 12, block = 6562192 miss eviction 
L 602b44,4 tag = 6154, set = 26, block = 6302532 hit 
S 642210,4 tag = 6408, set = 16, block = 6562320 miss eviction 
L 602b48,4 tag = 6154, set = 26, block = 6302536 hit 
S 642290,4 tag = 6408, set = 20, block = 6562448 miss eviction 
L 602b4c,4 tag = 6154, set = 26, block = 6302540 hit 
S 642310,4 tag = 6408, set = 24, block = 6562576 miss eviction 
L 602b50,4 tag = 6154, set = 26, block = 6302544 hit 
S 642390,4 tag = 6408, set = 28, block = 6562704 miss eviction 
L 602b54,4 tag = 6154, set = 26, block = 6302548 hit 
S 642410,4 tag = 6409, set = 0, block = 6562832 miss eviction 
L 602b58,4 tag = 6154, set = 26, block = 6302552 hit 
S 642490,4 tag = 6409, set = 4, block = 6562960 miss eviction 
L 602b5c,4 tag = 6154, set = 26, block = 6302556 hit 
S 642510,4 tag = 6409, set = 8, block = 6563088 miss eviction 
L 602b60,4 tag = 6154, set = 27, block = 6302528 miss eviction 
S 642590,4 tag = 6409, set = 12, block = 6563216 miss eviction 
L 602b64,4 tag = 6154, set = 27, block = 6302532 hit 
S 642610,4 tag = 6409, set = 16, block = 6563344 miss eviction 
L 602b68,4 tag = 6154, set = 27, block = 6302536 hit 
S 642690,4 tag = 6409, set = 20, block = 6563472 miss eviction 
L 602b6c,4 tag = 6154, set = 27, block = 6302540 hit 
S 642710,4 tag = 6409, set = 24, block = 6563600 miss eviction 
L 602b70,4 tag = 6154, set = 27, block = 6302544 hit 
S 642790,4 tag = 6409, set = 28, block = 6563728 miss eviction 
L 602b74,4 tag = 6154, set = 27, block = 6302548 hit 
S 642810,4 tag = 6410, set = 0, block = 6563856 miss eviction 
L 602b78,4 tag = 6154, set = 27, block = 6302552 hit 
S 642890,4 tag = 6410, set = 4, block = 6563984 miss eviction 
L 602b7c,4 tag = 6154, set = 27, block = 6302556 hit 
S 642910,4 tag = 6410, set = 8, block = 6564112 miss eviction 
L 602b80,4 tag = 6154, set = 28, block = 6302592 miss eviction 
S 642990,4 tag = 6410, set = 12, block = 6564240 miss eviction 
L 602b84,4 tag = 6154, set = 28, block = 6302596 hit 
S 642a10,4 tag = 6410, set = 16, block = 6564368 miss eviction 
L 602b88,4 tag = 6154, set = 28, block = 6302600 hit 
S 642a90,4 tag = 6410, set = 20, block = 6564496 miss eviction 
L 602b8c,4 tag = 6154, set = 28, block = 6302604 hit 
S 642b10,4 tag = 6410, set = 24, block = 6564624 miss eviction 
L 602b90,4 tag = 6154, set = 28, block = 6302608 hit 
S 642b90,4 tag = 6410, set = 28, block = 6564752 miss eviction 
L 602b94,4 tag = 6154, set = 28, block = 6302612 miss eviction 
S 642c10,4 tag = 6411, set = 0, block = 6564880 miss eviction 
L 602b98,4 tag = 6154, set = 28, block = 6302616 hit 
S 642c90,4 tag = 6411, set = 4, block = 6565008 miss eviction 
L 602b9c,4 tag = 6154, set = 28, block = 6302620 hit 
S 642d10,4 tag = 6411, set = 8, block = 6565136 miss eviction 
L 602ba0,4 tag = 6154, set = 29, block = 6302592 miss eviction 
S 642d90,4 tag = 6411, set = 12, block = 6565264 miss eviction 
L 602ba4,4 tag = 6154, set = 29, block = 6302596 hit 
S 642e10,4 tag = 6411, set = 16, block = 6565392 miss eviction 
L 602ba8,4 tag = 6154, set = 29, block = 6302600 hit 
S 642e90,4 tag = 6411, set = 20, block = 6565520 miss eviction 
L 602bac,4 tag = 6154, set = 29, block = 6302604 hit 
S 642f10,4 tag = 6411, set = 24, block = 6565648 miss eviction 
L 602bb0,4 tag = 6154, set = 29, block = 6302608 hit 
S 642f90,4 tag = 6411, set = 28, block = 6565776 miss eviction 
L 602bb4,4 tag = 6154, set = 29, block = 6302612 hit 
S 643010,4 tag = 6412, set = 0, block = 6565904 miss eviction 
L 602bb8,4 tag = 6154, set = 29, block = 6302616 hit 
S 643090,4 tag = 6412, set = 4, block = 6566032 miss eviction 
L 602bbc,4 tag = 6154, set = 29, block = 6302620 hit 
S 643110,4 tag = 6412, set = 8, block = 6566160 miss eviction 
L 602bc0,4 tag = 6154, set = 30, block = 6302656 miss eviction 
S 642194,4 tag = 6408, set = 12, block = 6562196 miss eviction 
L 602bc4,4 tag = 6154, set = 30, block = 6302660 hit 
S 642214,4 tag = 6408, set = 16, block = 6562324 miss eviction 
L 602bc8,4 tag = 6154, set = 30, block = 6302664 hit 
S 642294,4 tag = 6408, set = 20, block = 6562452 miss eviction 
L 602bcc,4 tag = 6154, set = 30, block = 6302668 hit 
S 642314,4 tag = 6408, set = 24, block = 6562580 miss eviction 
L 602bd0,4 tag = 6154, set = 30, block = 6302672 hit 
S 642394,4 tag = 6408, set = 28, block = 6562708 miss eviction 
L 602bd4,4 tag = 6154, set = 30, block = 6302676 hit 
S 642414,4 tag = 6409, set = 0, block = 6562836 miss eviction 
L 602bd8,4 tag = 6154, set = 30, block = 6302680 hit 
S 642494,4 tag = 6409, set = 4, block = 6562964 miss eviction 
L 602bdc,4 tag = 6154, set = 30, block = 6302684 hit 
S 642514,4 tag = 6409, set = 8, block = 6563092 miss eviction 
L 602be0,4 tag = 6154, set = 31, block = 6302656 miss eviction 
S 642594,4 tag = 6409, set = 12, block = 6563220 miss eviction 
L 602be4,4 tag = 6154, set = 31, block = 6302660 hit 
S 642614,4 tag = 6409, set = 16, block = 6563348 miss eviction 
L 602be8,4 tag = 6154, set = 31, block = 6302664 hit 
S 642694,4 tag = 6409, set = 20, block = 6563476 miss eviction 
L 602bec,4 tag = 6154, set = 31, block = 6302668 hit 
S 642714,4 tag = 6409, set = 24, block = 6563604 miss eviction 
L 602bf0,4 tag = 6154, set = 31, block = 6302672 hit 
S 642794,4 tag = 6409, set = 28, block = 6563732 miss eviction 
L 602bf4,4 tag = 6154, set = 31, block = 6302676 hit 
S 642814,4 tag = 6410, set = 0, block = 6563860 miss eviction 
L 602bf8,4 tag = 6154, set = 31, block = 6302680 hit 
S 642894,4 tag = 6410, set = 4, block = 6563988 miss eviction 
L 602bfc,4 tag = 6154, set = 31, block = 6302684 hit 
S 642914,4 tag = 6410, set = 8, block = 6564116 miss eviction 
L 602c00,4 tag = 6155, set = 0, block = 6302720 miss eviction 
S 642994,4 tag = 6410, set = 12, block = 6564244 miss eviction 
L 602c04,4 tag = 6155, set = 0, block = 6302724 hit 
S 642a14,4 tag = 6410, set = 16, block = 6564372 miss eviction 
L 602c08,4 tag = 6155, set = 0, block = 6302728 hit 
S 642a94,4 tag = 6410, set = 20, block = 6564500 miss eviction 
L 602c0c,4 tag = 6155, set = 0, block = 6302732 hit 
S 642b14,4 tag = 6410, set = 24, block = 6564628 miss eviction 
L 602c10,4 tag = 6155, set = 0, block = 6302736 hit 
S 642b94,4 tag = 6410, set = 28, block = 6564756 miss eviction 
L 602c14,4 tag = 6155, set = 0, block = 6302740 hit 
S 642c14,4 tag = 6411, set = 0, block = 6564884 miss eviction 
L 602c18,4 tag = 6155, set = 0, block = 6302744 miss eviction 
S 642c94,4 tag = 6411, set = 4, block = 6565012 miss eviction 
L 602c1c,4 tag = 6155, set = 0, block = 6302748 hit 
S 642d14,4 tag = 6411, set = 8, block = 6565140 miss eviction 
L 602c20,4 tag = 6155, set = 1, block = 6302720 miss eviction 
S 642d94,4 tag = 6411, set = 12, block = 6565268 miss eviction 
L 602c24,4 tag = 6155, set = 1, block = 6302724 hit 
S 642e14,4 tag = 6411, set = 16, block = 6565396 miss eviction 
L 602c28,4 tag = 6155, set = 1, block = 6302728 hit 
S 642e94,4 tag = 6411, set = 20, block = 6565524 miss eviction 
L 602c2c,4 tag = 6155, set = 1, block = 6302732 hit 
S 642f14,4 tag = 6411, set = 24, block = 6565652 miss eviction 
L 602c30,4 tag = 6155, set = 1, block = 6302736 hit 
S 642f94,4 tag = 6411, set = 28, block = 6565780 miss eviction 
L 602c34,4 tag = 6155, set = 1, block = 6302740 hit 
S 643014,4 tag = 6412, set = 0, block = 6565908 miss eviction 
L 602c38,4 tag = 6155, set = 1, block = 6302744 hit 
S 643094,4 tag = 6412, set = 4, block = 6566036 miss eviction 
L 602c3c,4 tag = 6155, set = 1, block = 6302748 hit 
S 643114,4 tag = 6412, set = 8, block = 6566164 miss eviction 
L 602c40,4 tag = 6155, set = 2, block = 6302784 miss eviction 
S 642198,4 tag = 6408, set = 12, block = 6562200 miss eviction 
L 602c44,4 tag = 6155, set = 2, block = 6302788 hit 
S 642218,4 tag = 6408, set = 16, block = 6562328 miss eviction 
L 602c48,4 tag = 6155, set = 2, block = 6302792 hit 
S 642298,4 tag = 6408, set = 20, block = 6562456 miss eviction 
L 602c4c,4 tag = 6155, set = 2, block = 6302796 hit 
S 642318,4 tag = 6408, set = 24, block = 6562584 miss eviction 
L 602c50,4 tag = 6155, set = 2, block = 6302800 hit 
S 642398,4 tag = 6408, set = 28, block = 6562712 miss eviction 
L 602c54,4 tag = 6155, set = 2, block = 6302804 hit 
S 642418,4 tag = 6409, set = 0, block = 6562840 miss eviction 
L 602c58,4 tag = 6155, set = 2, block = 6302808 hit 
S 642498,4 tag = 6409, set = 4, block = 6562968 miss eviction 
L 602c5c,4 tag = 6155, set = 2, block = 6302812 hit 
S 642518,4 tag = 6409, set = 8, block = 6563096 miss eviction 
L 602c60,4 tag = 6155, set = 3, block = 6302784 miss eviction 
S 642598,4 tag = 6409, set = 12, block = 6563224 miss eviction 
L 602c64,4 tag = 6155, set = 3, block = 6302788 hit 
S 642618,4 tag = 6409, set = 16, block = 6563352 miss eviction 
L 602c68,4 tag = 6155, set = 3, block = 6302792 hit 
S 642698,4 tag = 6409, set = 20, block = 6563480 miss eviction 
L 602c6c,4 tag = 6155, set = 3, block = 6302796 hit 
S 642718,4 tag = 6409, set = 24, block = 6563608 miss eviction 
L 602c70,4 tag = 6155, set = 3, block = 6302800 hit 
S 642798,4 tag = 6409, set = 28, block = 6563736 miss eviction 
L 602c74,4 tag = 6155, set = 3, block = 6302804 hit 
S 642818,4 tag = 6410, set = 0, block = 6563864 miss eviction 
L 602c78,4 tag = 6155, set = 3, block = 6302808 hit 
S 642898,4 tag = 6410, set = 4, block = 6563992 miss eviction 
L 602c7c,4 tag = 6155, set = 3, block = 6302812 hit 
S 642918,4 tag = 6410, set = 8, block = 6564120 miss eviction 
L 602c80,4 tag = 6155, set = 4, block = 6302848 miss eviction 
S 642998,4 tag = 6410, set = 12, block = 6564248 miss eviction 
L 602c84,4 tag = 6155, set = 4, block = 6302852 hit 
S 642a18,4 tag = 6410, set = 16, block = 6564376 miss eviction 
L 602c88,4 tag = 6155, set = 4, block = 6302856 hit 
S 642a98,4 tag = 6410, set = 20, block = 6564504 miss eviction 
L 602c8c,4 tag = 6155, set = 4, block = 6302860 hit 
S 642b18,4 tag = 6410, set = 24, block = 6564632 miss eviction 
L 602c90,4 tag = 6155, set = 4, block = 6302864 hit 
S 642b98,4 tag = 6410, set = 28, block = 6564760 miss eviction 
L 602c94,4 tag = 6155, set = 4, block = 6302868 hit 
S 642c18,4 tag = 6411, set = 0, block = 6564888 miss eviction 
L 602c98,4 tag = 6155, set = 4, block = 6302872 hit 
S 642c98,4 tag = 6411, set = 4, block = 6565016 miss eviction 
L 602c9c,4 tag = 6155, set = 4, block = 6302876 miss eviction 
S 642d18,4 tag = 6411, set = 8, block = 6565144 miss eviction 
L 602ca0,4 tag = 6155, set = 5, block = 6302848 miss eviction 
S 642d98,4 tag = 6411, set = 12, block = 6565272 miss eviction 
L 602ca4,4 tag = 6155, set = 5, block = 6302852 hit 
S 642e18,4 tag = 6411, set = 16, block = 6565400 miss eviction 
L 602ca8,4 tag = 6155, set = 5, block = 6302856 hit 
S 642e98,4 tag = 6411, set = 20, block = 6565528 miss eviction 
L 602cac,4 tag = 6155, set = 5, block = 6302860 hit 
S 642f18,4 tag = 6411, set = 24, block = 6565656 miss eviction 
L 602cb0,4 tag = 6155, set = 5, block = 6302864 hit 
S 642f98,4 tag = 6411, set = 28, block = 6565784 miss eviction 
L 602cb4,4 tag = 6155, set = 5, block = 6302868 hit 
S 643018,4 tag = 6412, set = 0, block = 6565912 miss eviction 
L 602cb8,4 tag = 6155, set = 5, block = 6302872 hit 
S 643098,4 tag = 6412, set = 4, block = 6566040 miss eviction 
L 602cbc,4 tag = 6155, set = 5, block = 6302876 hit 
S 643118,4 tag = 6412, set = 8, block = 6566168 miss eviction 
L 602cc0,4 tag = 6155, set = 6, block = 6302912 miss eviction 
S 64219c,4 tag = 6408, set = 12, block = 6562204 miss eviction 
L 602cc4,4 tag = 6155, set = 6, block = 6302916 hit 
S 64221c,4 tag = 6408, set = 16, block = 6562332 miss eviction 
L 602cc8,4 tag = 6155, set = 6, block = 6302920 hit 
S 64229c,4 tag = 6408, set = 20, block = 6562460 miss eviction 
L 602ccc,4 tag = 6155, set = 6, block = 6302924 hit 
S 64231c,4 tag = 6408, set = 24, block = 6562588 miss eviction 
L 602cd0,4 tag = 6155, set = 6, block = 6302928 hit 
S 64239c,4 tag = 6408, set = 28, block = 6562716 miss eviction 
L 602cd4,4 tag = 6155, set = 6, block = 6302932 hit 
S 64241c,4 tag = 6409, set = 0, block = 6562844 miss eviction 
L 602cd8,4 tag = 6155, set = 6, block = 6302936 hit 
S 64249c,4 tag = 6409, set = 4, block = 6562972 miss eviction 
L 602cdc,4 tag = 6155, set = 6, block = 6302940 hit 
S 64251c,4 tag = 6409, set = 8, block = 6563100 miss eviction 
L 602ce0,4 tag = 6155, set = 7, block = 6302912 miss eviction 
S 64259c,4 tag = 6409, set = 12, block = 6563228 miss eviction 
L 602ce4,4 tag = 6155, set = 7, block = 6302916 hit 
S 64261c,4 tag = 6409, set = 16, block = 6563356 miss eviction 
L 602ce8,4 tag = 6155, set = 7, block = 6302920 hit 
S 64269c,4 tag = 6409, set = 20, block = 6563484 miss eviction 
L 602cec,4 tag = 6155, set = 7, block = 6302924 hit 
S 64271c,4 tag = 6409, set = 24, block = 6563612 miss eviction 
L 602cf0,4 tag = 6155, set = 7, block = 6302928 hit 
S 64279c,4 tag = 6409, set = 28, block = 6563740 miss eviction 
L 602cf4,4 tag = 6155, set = 7, block = 6302932 hit 
S 64281c,4 tag = 6410, set = 0, block = 6563868 miss eviction 
L 602cf8,4 tag = 6155, set = 7, block = 6302936 hit 
S 64289c,4 tag = 6410, set = 4, block = 6563996 miss eviction 
L 602cfc,4 tag = 6155, set = 7, block = 6302940 hit 
S 64291c,4 tag = 6410, set = 8, block = 6564124 miss eviction 
L 602d00,4 tag = 6155, set = 8, block = 6302976 miss eviction 
S 64299c,4 tag = 6410, set = 12, block = 6564252 miss eviction 
L 602d04,4 tag = 6155, set = 8, block = 6302980 hit 
S 642a1c,4 tag = 6410, set = 16, block = 6564380 miss eviction 
L 602d08,4 tag = 6155, set = 8, block = 6302984 hit 
S 642a9c,4 tag = 6410, set = 20, block = 6564508 miss eviction 
L 602d0c,4 tag = 6155, set = 8, block = 6302988 hit 
S 642b1c,4 tag = 6410, set = 24, block = 6564636 miss eviction 
L 602d10,4 tag = 6155, set = 8, block = 6302992 hit 
S 642b9c,4 tag = 6410, set = 28, block = 6564764 miss eviction 
L 602d14,4 tag = 6155, set = 8, block = 6302996 hit 
S 642c1c,4 tag = 6411, set = 0, block = 6564892 miss eviction 
L 602d18,4 tag = 6155, set = 8, block = 6303000 hit 
S 642c9c,4 tag = 6411, set = 4, block = 6565020 miss eviction 
L 602d1c,4 tag = 6155, set = 8, block = 6303004 hit 
S 642d1c,4 tag = 6411, set = 8, block = 6565148 miss eviction 
L 602d20,4 tag = 6155, set = 9, block = 6302976 miss eviction 
S 642d9c,4 tag = 6411, set = 12, block = 6565276 miss eviction 
L 602d24,4 tag = 6155, set = 9, block = 6302980 hit 
S 642e1c,4 tag = 6411, set = 16, block = 6565404 miss eviction 
L 602d28,4 tag = 6155, set = 9, block = 6302984 hit 
S 642e9c,4 tag = 6411, set = 20, block = 6565532 miss eviction 
L 602d2c,4 tag = 6155, set = 9, block = 6302988 hit 
S 642f1c,4 tag = 6411, set = 24, block = 6565660 miss eviction 
L 602d30,4 tag = 6155, set = 9, block = 6302992 hit 
S 642f9c,4 tag = 6411, set = 28, block = 6565788 miss eviction 
L 602d34,4 tag = 6155, set = 9, block = 6302996 hit 
S 64301c,4 tag = 6412, set = 0, block = 6565916 miss eviction 
L 602d38,4 tag = 6155, set = 9, block = 6303000 hit 
S 64309c,4 tag = 6412, set = 4, block = 6566044 miss eviction 
L 602d3c,4 tag = 6155, set = 9, block = 6303004 hit 
S 64311c,4 tag = 6412, set = 8, block = 6566172 miss eviction 
L 602d40,4 tag = 6155, set = 10, block = 6303040 miss eviction 
S 6421a0,4 tag = 6408, set = 13, block = 6562176 miss eviction 
L 602d44,4 tag = 6155, set = 10, block = 6303044 hit 
S 642220,4 tag = 6408, set = 17, block = 6562304 miss eviction 
L 602d48,4 tag = 6155, set = 10, block = 6303048 hit 
S 6422a0,4 tag = 6408, set = 21, block = 6562432 miss eviction 
L 602d4c,4 tag = 6155, set = 10, block = 6303052 hit 
S 642320,4 tag = 6408, set = 25, block = 6562560 miss eviction 
L 602d50,4 tag = 6155, set = 10, block = 6303056 hit 
S 6423a0,4 tag = 6408, set = 29, block = 6562688 miss eviction 
L 602d54,4 tag = 6155, set = 10, block = 6303060 hit 
S 642420,4 tag = 6409, set = 1, block = 6562816 miss eviction 
L 602d58,4 tag = 6155, set = 10, block = 6303064 hit 
S 6424a0,4 tag = 6409, set = 5, block = 6562944 miss eviction 
L 602d5c,4 tag = 6155, set = 10, block = 6303068 hit 
S 642520,4 tag = 6409, set = 9, block = 6563072 miss eviction 
L 602d60,4 tag = 6155, set = 11, block = 6303040 miss eviction 
S 6425a0,4 tag = 6409, set = 13, block = 6563200 miss eviction 
L 602d64,4 tag = 6155, set = 11, block = 6303044 hit 
S 642620,4 tag = 6409, set = 17, block = 6563328 miss eviction 
L 602d68,4 tag = 6155, set = 11, block = 6303048 hit 
S 6426a0,4 tag = 6409, set = 21, block = 6563456 miss eviction 
L 602d6c,4 tag = 6155, set = 11, block = 6303052 hit 
S 642720,4 tag = 6409, set = 25, block = 6563584 miss eviction 
L 602d70,4 tag = 6155, set = 11, block = 6303056 hit 
S 6427a0,4 tag = 6409, set = 29, block = 6563712 miss eviction 
L 602d74,4 tag = 6155, set = 11, block = 6303060 hit 
S 642820,4 tag = 6410, set = 1, block = 6563840 miss eviction 
L 602d78,4 tag = 6155, set = 11, block = 6303064 hit 
S 6428a0,4 tag = 6410, set = 5, block = 6563968 miss eviction 
L 602d7c,4 tag = 6155, set = 11, block = 6303068 hit 
S 642920,4 tag = 6410, set = 9, block = 6564096 miss eviction 
L 602d80,4 tag = 6155, set = 12, block = 6303104 miss eviction 
S 6429a0,4 tag = 6410, set = 13, block = 6564224 miss eviction 
L 602d84,4 tag = 6155, set = 12, block = 6303108 hit 
S 642a20,4 tag = 6410, set = 17, block = 6564352 miss eviction 
L 602d88,4 tag = 6155, set = 12, block = 6303112 hit 
S 642aa0,4 tag = 6410, set = 21, block = 6564480 miss eviction 
L 602d8c,4 tag = 6155, set = 12, block = 6303116 hit 
S 642b20,4 tag = 6410, set = 25, block = 6564608 miss eviction 
L 602d90,4 tag = 6155, set = 12, block = 6303120 hit 
S 642ba0,4 tag = 6410, set = 29, block = 6564736 miss eviction 
L 602d94,4 tag = 6155, set = 12, block = 6303124 hit 
S 642c20,4 tag = 6411, set = 1, block = 6564864 miss eviction 
L 602d98,4 tag = 6155, set = 12, block = 6303128 hit 
S 642ca0,4 tag = 6411, set = 5, block = 6564992 miss eviction 
L 602d9c,4 tag = 6155, set = 12, block = 6303132 hit 
S 642d20,4 tag = 6411, set = 9, block = 6565120 miss eviction 
L 602da0,4 tag = 6155, set = 13, block = 6303104 miss eviction 
S 642da0,4 tag = 6411, set = 13, block = 6565248 miss eviction 
L 602da4,4 tag = 6155, set = 13, block = 6303108 miss eviction 
S 642e20,4 tag = 6411, set = 17, block = 6565376 miss eviction 
L 602da8,4 tag = 6155, set = 13, block = 6303112 hit 
S 642ea0,4 tag = 6411, set = 21, block = 6565504 miss eviction 
L 602dac,4 tag = 6155, set = 13, block = 6303116 hit 
S 642f20,4 tag = 6411, set = 25, block = 6565632 miss eviction 
L 602db0,4 tag = 6155, set = 13, block = 6303120 hit 
S 642fa0,4 tag = 6411, set = 29, block = 6565760 miss eviction 
L 602db4,4 tag = 6155, set = 13, block = 6303124 hit 
S 643020,4 tag = 6412, set = 1, block = 6565888 miss eviction 
L 602db8,4 tag = 6155, set = 13, block = 6303128 hit 
S 6430a0,4 tag = 6412, set = 5, block = 6566016 miss eviction 
L 602dbc,4 tag = 6155, set = 13, block = 6303132 hit 
S 643120,4 tag = 6412, set = 9, block = 6566144 miss eviction 
L 602dc0,4 tag = 6155, set = 14, block = 6303168 miss eviction 
S 6421a4,4 tag = 6408, set = 13, block = 6562180 miss eviction 
L 602dc4,4 tag = 6155, set = 14, block = 6303172 hit 
S 642224,4 tag = 6408, set = 17, block = 6562308 miss eviction 
L 602dc8,4 tag = 6155, set = 14, block = 6303176 hit 
S 6422a4,4 tag = 6408, set = 21, block = 6562436 miss eviction 
L 602dcc,4 tag = 6155, set = 14, block = 6303180 hit 
S 642324,4 tag = 6408, set = 25, block = 6562564 miss eviction 
L 602dd0,4 tag = 6155, set = 14, block = 6303184 hit 
S 6423a4,4 tag = 6408, set = 29, block = 6562692 miss eviction 
L 602dd4,4 tag = 6155, set = 14, block = 6303188 hit 
S 642424,4 tag = 6409, set = 1, block = 6562820 miss eviction 
L 602dd8,4 tag = 6155, set = 14, block = 6303192 hit 
S 6424a4,4 tag = 6409, set = 5, block = 6562948 miss eviction 
L 602ddc,4 tag = 6155, set = 14, block = 6303196 hit 
S 642524,4 tag = 6409, set = 9, block = 6563076 miss eviction 
L 602de0,4 tag = 6155, set = 15, block = 6303168 miss eviction 
S 6425a4,4 tag = 6409, set = 13, block = 6563204 miss eviction 
L 602de4,4 tag = 6155, set = 15, block = 6303172 hit 
S 642624,4 tag = 6409, set = 17, block = 6563332 miss eviction 
L 602de8,4 tag = 6155, set = 15, block = 6303176 hit 
S 6426a4,4 tag = 6409, set = 21, block = 6563460 miss eviction 
L 602dec,4 tag = 6155, set = 15, block = 6303180 hit 
S 642724,4 tag = 6409, set = 25, block = 6563588 miss eviction 
L 602df0,4 tag = 6155, set = 15, block = 6303184 hit 
S 6427a4,4 tag = 6409, set = 29, block = 6563716 miss eviction 
L 602df4,4 tag = 6155, set = 15, block = 6303188 hit 
S 642824,4 tag = 6410, set = 1, block = 6563844 miss eviction 
L 602df8,4 tag = 6155, set = 15, block = 6303192 hit 
S 6428a4,4 tag = 6410, set = 5, block = 6563972 miss eviction 
L 602dfc,4 tag = 6155, set = 15, block = 6303196 hit 
S 642924,4 tag = 6410, set = 9, block = 6564100 miss eviction 
L 602e00,4 tag = 6155, set = 16, block = 6303232 miss eviction 
S 6429a4,4 tag = 6410, set = 13, block = 6564228 miss eviction 
L 602e04,4 tag = 6155, set = 16, block = 6303236 hit 
S 642a24,4 tag = 6410, set = 17, block = 6564356 miss eviction 
L 602e08,4 tag = 6155, set = 16, block = 6303240 hit 
S 642aa4,4 tag = 6410, set = 21, block = 6564484 miss eviction 
L 602e0c,4 tag = 6155, set = 16, block = 6303244 hit 
S 642b24,4 tag = 6410, set = 25, block = 6564612 miss eviction 
L 602e10,4 tag = 6155, set = 16, block = 6303248 hit 
S 642ba4,4 tag = 6410, set = 29, block = 6564740 miss eviction 
L 602e14,4 tag = 6155, set = 16, block = 6303252 hit 
S 642c24,4 tag = 6411, set = 1, block = 6564868 miss eviction 
L 602e18,4 tag = 6155, set = 16, block = 6303256 hit 
S 642ca4,4 tag = 6411, set = 5, block = 6564996 miss eviction 
L 602e1c,4 tag = 6155, set = 16, block = 6303260 hit 
S 642d24,4 tag = 6411, set = 9, block = 6565124 miss eviction 
L 602e20,4 tag = 6155, set = 17, block = 6303232 miss eviction 
S 642da4,4 tag = 6411, set = 13, block = 6565252 miss eviction 
L 602e24,4 tag = 6155, set = 17, block = 6303236 hit 
S 642e24,4 tag = 6411, set = 17, block = 6565380 miss eviction 
L 602e28,4 tag = 6155, set = 17, block = 6303240 miss eviction 
S 642ea4,4 tag = 6411, set = 21, block = 6565508 miss eviction 
L 602e2c,4 tag = 6155, set = 17, block = 6303244 hit 
S 642f24,4 tag = 6411, set = 25, block = 6565636 miss eviction 
L 602e30,4 tag = 6155, set = 17, block = 6303248 hit 
S 642fa4,4 tag = 6411, set = 29, block = 6565764 miss eviction 
L 602e34,4 tag = 6155, set = 17, block = 6303252 hit 
S 643024,4 tag = 6412, set = 1, block = 6565892 miss eviction 
L 602e38,4 tag = 6155, set = 17, block = 6303256 hit 
S 6430a4,4 tag = 6412, set = 5, block = 6566020 miss eviction 
L 602e3c,4 tag = 6155, set = 17, block = 6303260 hit 
S 643124,4 tag = 6412, set = 9, block = 6566148 miss eviction 
L 602e40,4 tag = 6155, set = 18, block = 6303296 miss eviction 
S 6421a8,4 tag = 6408, set = 13, block = 6562184 miss eviction 
L 602e44,4 tag = 6155, set = 18, block = 6303300 hit 
S 642228,4 tag = 6408, set = 17, block = 6562312 miss eviction 
L 602e48,4 tag = 6155, set = 18, block = 6303304 hit 
S 6422a8,4 tag = 6408, set = 21, block = 6562440 miss eviction 
L 602e4c,4 tag = 6155, set = 18, block = 6303308 hit 
S 642328,4 tag = 6408, set = 25, block = 6562568 miss eviction 
L 602e50,4 tag = 6155, set = 18, block = 6303312 hit 
S 6423a8,4 tag = 6408, set = 29, block = 6562696 miss eviction 
L 602e54,4 tag = 6155, set = 18, block = 6303316 hit 
S 642428,4 tag = 6409, set = 1, block = 6562824 miss eviction 
L 602e58,4 tag = 6155, set = 18, block = 6303320 hit 
S 6424a8,4 tag = 6409, set = 5, block = 6562952 miss eviction 
L 602e5c,4 tag = 6155, set = 18, block = 6303324 hit 
S 642528,4 tag = 6409, set = 9, block = 6563080 miss eviction 
L 602e60,4 tag = 6155, set = 19, block = 6303296 miss eviction 
S 6425a8,4 tag = 6409, set = 13, block = 6563208 miss eviction 
L 602e64,4 tag = 6155, set = 19, block = 6303300 hit 
S 642628,4 tag = 6409, set = 17, block = 6563336 miss eviction 
L 602e68,4 tag = 6155, set = 19, block = 6303304 hit 
S 6426a8,4 tag = 6409, set = 21, block = 6563464 miss eviction 
L 602e6c,4 tag = 6155, set = 19, block = 6303308 hit 
S 642728,4 tag = 6409, set = 25, block = 6563592 miss eviction 
L 602e70,4 tag = 6155, set = 19, block = 6303312 hit 
S 6427a8,4 tag = 6409, set = 29, block = 6563720 miss eviction 
L 602e74,4 tag = 6155, set = 19, block = 6303316 hit 
S 642828,4 tag = 6410, set = 1, block = 6563848 miss eviction 
L 602e78,4 tag = 6155, set = 19, block = 6303320 hit 
S 6428a8,4 tag = 6410, set = 5, block = 6563976 miss eviction 
L 602e7c,4 tag = 6155, set = 19, block = 6303324 hit 
S 642928,4 tag = 6410, set = 9, block = 6564104 miss eviction 
L 602e80,4 tag = 6155, set = 20, block = 6303360 miss eviction 
S 6429a8,4 tag = 6410, set = 13, block = 6564232 miss eviction 
L 602e84,4 tag = 6155, set = 20, block = 6303364 hit 
S 642a28,4 tag = 6410, set = 17, block = 6564360 miss eviction 
